2 1000 2000
1000 2882 25 714
1000 8073 2975 410
1000 9224 6697 459
1000 4340 1706 479
1000 6238 3747 561
1000 8665 849 891
1000 3458 4787 400
1000 7100 963 618
1000 3596 8025 452
1000 853 740 215
1000 5200 5187 927
1000 5004 9166 348
1000 3983 451 260
1000 8763 5525 597
1000 34 9396 141
1000 7050 7223 217
1000 4513 3573 598
1000 2091 3554 823
1000 4969 8105 110
1000 5736 7483 794
1000 4064 4925 119
1000 10 9932 312
1000 9150 4412 567
1000 5637 2011 683
1000 3407 1169 345
1000 215 7884 530
1000 8011 8138 787
1000 2606 6617 424
1000 698 8832 415
1000 6879 9520 357
1000 7505 2036 188
1000 7229 5644 913
1000 3487 9835 738
1000 1164 4554 369
1000 1308 5809 748
1000 4361 1003 221
1000 8807 3451 115
1000 9873 820 289
1000 3374 6851 161
1000 3114 5732 177
1000 454 1458 206
1000 5771 6472 188
1000 8948 3042 314
1000 5642 182 668
1000 5964 9573 211
1000 4718 6585 267
1000 150 8686 135
1000 2293 9727 329
1000 2454 7877 302
1000 9549 8558 646
1000 2170 8504 142
1000 7621 3951 452
1000 1491 8089 502
1000 6765 1917 245
1000 9873 2459 776
1000 421 4530 346
1000 6955 8960 102
1000 860 3024 183
1000 1355 9855 449
1000 2861 8770 323
1000 3968 6561 116
1000 8496 6328 238
1000 4471 7812 171
1000 3471 5996 149
1000 2550 2054 460
1000 6160 6491 124
1000 5759 1072 203
1000 5516 9209 142
1000 8384 3838 221
1000 1156 1027 128
1000 7111 2785 293
1000 7844 9694 410
1000 421 7042 281
1000 3685 4070 300
1000 1521 6930 280
1000 4598 80 233
1000 3376 2100 166
1000 5122 8487 278
1000 9444 208 111
1000 1458 1881 131
1000 73 5456 161
1000 5189 6276 116
1000 33 2389 252
1000 3942 8937 114
1000 8565 6934 207
1000 9666 7357 222
1000 9830 9848 510
1000 859 7400 189
1000 8075 4520 199
1000 1770 4694 202
1000 1877 3 109
1000 6397 8687 158
1000 1376 320 120
1000 2848 7403 137
1000 1018 6690 148
1000 4382 8779 214
1000 446 3254 171
1000 3303 7311 103
1000 585 2563 214
1000 8555 9303 149
2000 8220 3099 67
2000 6099 2383 50
2000 3851 9652 85
2000 7289 6011 80
2000 4133 3573 78
2000 8969 5258 92
2000 1429 7783 87
2000 5379 1803 73
2000 5948 281 77
2000 7032 672 93
2000 6937 9260 72
2000 5855 5138 95
2000 7216 1320 60
2000 5144 9337 79
2000 6505 5849 85
2000 5808 5712 88
2000 1423 6214 67
2000 7507 784 72
2000 5574 228 58
2000 6759 5689 81
