2 1000 2000
1000 1252 1963 1059
1000 3503 4663 1040
1000 6205 2162 1053
1000 7039 6272 1075
1000 1960 8184 1007
1000 8439 8871 1015
1000 5241 8991 1074
1000 8912 1660 1015
1000 1024 5659 1095
1000 8888 4357 1007
2000 1637 1157 165
2000 2022 1612 213
2000 2111 2202 167
2000 1732 2662 211
2000 1171 2801 217
2000 656 2549 223
2000 383 2031 187
2000 552 1464 199
2000 1043 1153 222
2000 2706 4718 242
2000 2853 4191 237
2000 3308 3881 233
2000 3851 3951 247
2000 4239 4336 235
2000 4304 4894 207
2000 3974 5363 196
2000 3417 5477 222
2000 2917 5228 227
2000 6957 2525 218
2000 6536 2896 248
2000 5984 2947 238
2000 5460 2671 150
2000 5355 2077 198
2000 5636 1578 237
2000 6145 1352 240
2000 6729 1434 156
2000 6973 1967 260
2000 7156 5439 234
2000 7724 5654 153
2000 7873 6242 241
2000 7730 6811 199
2000 7218 7111 218
2000 6616 7069 173
2000 6165 6626 132
2000 6219 6006 213
2000 6571 5524 193
2000 2759 7967 179
2000 2719 8535 172
2000 2323 8957 154
2000 1769 8906 261
2000 1310 8643 211
2000 1192 8120 236
2000 1394 7622 210
2000 1883 7329 149
2000 2469 7452 115
2000 8117 8152 228
2000 8667 8069 182
2000 9098 8424 219
2000 9236 8953 214
2000 9021 9471 179
2000 8499 9713 171
2000 7947 9550 177
2000 7639 9072 190
2000 7723 8524 220
2000 5561 9732 267
2000 5012 9757 274
2000 4527 9460 220
2000 4374 8889 200
2000 4650 8364 212
2000 5192 8135 217
2000 5726 8340 263
2000 6085 8791 207
2000 5987 9365 240
2000 9699 1400 186
2000 9697 1973 170
2000 9301 2384 193
2000 8746 2456 203
2000 8267 2169 194
2000 8107 1636 211
2000 8304 1118 202
2000 8799 885 232
2000 9338 970 205
2000 1883 5403 199
2000 1825 6005 223
2000 1425 6459 200
2000 824 6500 230
2000 274 6215 161
2000 146 5606 215
2000 372 5042 198
2000 921 4767 197
2000 1543 4872 153
2000 8542 3673 241
2000 9074 3562 191
2000 9478 3915 270
2000 9667 4400 227
2000 9485 4918 188
2000 8979 5117 241
2000 8441 5040 191
2000 8112 4591 197
2000 8158 4044 213
